Threads,Width,Height,Mean_Time_s,Std_Dev,Outliers
1,400,100,4.1316,0.3479,[5.9314]
2,400,100,1.9801,0.0117,"[2.0043, 2.0132]"
4,400,100,1.294,0.0071,"[1.3103, 1.3112]"
8,400,100,0.9499,0.0358,[1.0589]
16,400,100,0.9246,0.0187,[0.9818]
